ID;Gender;Status;Children;Age;Customer_Status;Car_Owner;Customer_Service;Satisfaction;Business_Area;Action
30001;Male;S;1;20.5;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30002;Male;S;2;22.4;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30003;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30004;Male;S;1;17.5;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30005;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30006;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30007;Female;M;2;17.1;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30008;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30009;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30010;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30011;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30012;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30013;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30014;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30015;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30016;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30017;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30018;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30019;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30020;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30021;Male;S;1;20;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
30022;Male;S;2;22;Inactive;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30023;Female;M;2;17;Active;No;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Free Upgrade
30024;Male;S;1;17;Active;Yes;The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;0;Product: Functioning;Voucher
